waga;kiedy;co 
0.50;(21.06);truskawka
0.38;(21.06);groszek
1.50;(22.06);truskawka
0.60;(24.06);truskawka
0.50;(26.06);truskawka
0.25;(26.06);groszek
0.15;(28.06);ogorek_sz
0.70;(28.06);truskawka
0.90;(30.06);truskawka
1.00;(03.07);truskawka
0.75;(03.07);ogorek_sz
0.65;(05.07);ogorek_sz
0.30;(05.07);og
1.20;(05.07);truskawka
1.00;(05.07);cukinia
0.15;(05.07);ogorek_sz
0.20;(07.07);og
0.45;(07.07);cukinia
0.20;(07.07);groszek
0.60;(07.07);truskawka
0.40;(09.07);truskawka
0.60;(09.07);ogorek_sz
0.15;(09.07);og
2.20;(10.07);cukinia
0.55;(10.07);ogorek_sz
0.40;(10.07);og
0.90;(12.07);ogorek_sz
0.50;(12.07);og
1.50;(12.07);cukinia
0.15;(12.07);pomidor
0.10;(12.07);papryka
0.35;(12.07);truskawka
3.30;(14.07);cukinia
0.80;(14.07);og
0.80;(14.07);ogorek_sz
0.35;(14.07);truskawka
1.70;(17.07);og
0.35;(17.07);truskawka
1.20;(17.07);cukinia
0.40;(17.07);ogorek_sz
0.10;(17.07);pomidor
0.30;(17.07);papryka
1.85;(19.07);cukinia
0.95;(19.07);og
0.60;(19.07);ogorek_sz
0.30;(19.07);truskawka
0.25;(19.07);papryka
0.20;(19.07);pomidor
0.17;(21.07);groszek
0.30;(21.07);truskawka
1.00;(22.07);og
0.55;(24.07);ogorek_sz
0.20;(24.07);truskawka
2.20;(25.07);og
1.00;(25.07);ogorek_sz
1.00;(25.07);pomidor
2.00;(25.07);cukinia
1.00;(27.07);ogorek_sz
1.50;(27.07);og
1.20;(27.07);pomidor
1.50;(27.07);cukinia
0.30;(27.07);papryka
4.90;(28.07);czosnek
1.40;(28.07);og
0.50;(28.07);ogorek_sz
0.35;(28.07);cukinia
0.65;(28.07);pomidor
1.50;(29.07);cebula
0.60;(29.07);og
2.00;(31.07);cukinia
0.35;(31.07);ogorek_sz
2.00;(31.07);og
2.30;(31.07);pomidor
0.60;(27.07);papryka
2.35;(01.08);cukinia
1.50;(01.08);pomidor
0.90;(01.08);og
0.25;(01.08);pomidor_d
1.70;(03.08);og
0.95;(03.08);ogorek_sz
4.10;(04.08);cukinia
1.90;(04.08);og
0.30;(04.08);ogorek_sz
0.60;(04.08);papryka
5.30;(04.08);pomidor
0.20;(04.08);pomidor_k
0.30;(06.08);pomidor_k
5.10;(07.08);pomidor
4.00;(07.08);og
1.60;(07.08);ogorek_sz
0.20;(07.08);papryka
1.65;(07.08);cukinia
1.50;(09.08);og
0.35;(09.08);pomidor_k
0.20;(09.08);ogorek_sz
0.40;(10.08);pomidor_k
0.80;(10.08);ogorek_sz
0.65;(10.08);papryka
0.20;(10.08);og
7.50;(10.08);pomidor
0.60;(11.08);pomidor_k
1.40;(12.08);pomidor
1.90;(12.08);cukinia
1.20;(12.08);og
0.75;(13.08);cukinia
1.50;(13.08);og
0.80;(13.08);pomidor
0.50;(13.08);papryka
0.20;(13.08);pomidor_k
4.30;(14.08);pomidor
0.50;(14.08);og
0.60;(14.08);pomidor_k
0.80;(16.08);papryka
8.90;(16.08);pomidor
1.50;(16.08);czosnek
3.10;(16.08);og
1.70;(16.08);ogorek_sz
0.40;(16.08);marchew
0.60;(17.08);pomidor_k
0.85;(17.08);og
0.50;(18.08);og
1.25;(18.08);ogorek_sz
0.95;(18.08);pomidor
0.80;(18.08);pomidor_k
16.95;(20.08);pomidor
2.00;(20.08);cukinia
0.15;(20.08);fasola
1.75;(20.08);og
0.45;(20.08);papryka
0.45;(20.08);pomidor_k
0.95;(21.08);og
0.25;(21.08);pomidor_k
0.20;(22.08);fasola
0.95;(22.08);og
0.40;(22.08);cukinia
0.40;(22.08);pomidor
0.55;(23.08);pomidor_k
0.75;(24.08);og
0.55;(24.08);ogorek_sz
0.30;(24.08);fasola
